# ./output
#run VMC Energy                 Variance                Comments
   1   1 13.011729 +/- 0.015839 131.175396 +/- 0.221165 # RUN1.wfn.casl
   1  23 -7.641540 +/- 0.002219 2.247186 +/- 0.053561   # RUN1.wfn.22.casl
   1  24 -7.642877 +/- 0.002207 2.280940 +/- 0.087670   # RUN1.wfn.23.casl
   1  25 -7.644137 +/- 0.002153 2.187862 +/- 0.027737   # RUN1.wfn.24.casl
   1  26 -7.645621 +/- 0.002166 2.209767 +/- 0.056299   # RUN1.wfn.25.casl
   1  27 -7.648674 +/- 0.002181 2.258041 +/- 0.131669   # RUN1.wfn.26.casl
   1  28 -7.644768 +/- 0.002166 2.172840 +/- 0.055892   # RUN1.wfn.27.casl
   1  29 -7.637599 +/- 0.002192 2.177516 +/- 0.024441   # RUN1.wfn.28.casl
   1  30 -7.647844 +/- 0.002177 2.170557 +/- 0.057899   # RUN1.wfn.29.casl
   1  31 -7.643365 +/- 0.002112 2.106297 +/- 0.021351   # RUN1.wfn.30.casl
   1  32 -7.653059 +/- 0.002117 2.202057 +/- 0.076447   # RUN1.wfn.31.casl
   1  33 -7.653733 +/- 0.002151 2.128954 +/- 0.043892   # RUN1.wfn.32.casl
   1  34 -7.649398 +/- 0.002193 2.215628 +/- 0.071751   # RUN1.wfn.33.casl
   1  35 -7.657092 +/- 0.002139 2.099141 +/- 0.026540   # RUN1.wfn.34.casl
   1  36 -7.654910 +/- 0.002214 2.369298 +/- 0.227428   # RUN1.wfn.35.casl
   1  37 -7.651472 +/- 0.002216 2.264756 +/- 0.127531   # RUN1.wfn.36.casl
   1  38 -7.656360 +/- 0.002129 2.084482 +/- 0.048523   # RUN1.wfn.37.casl
   1  39 -7.652809 +/- 0.002152 2.150278 +/- 0.083152   # RUN1.wfn.38.casl
   1  40 -7.656528 +/- 0.002111 2.140055 +/- 0.046657   # RUN1.wfn.39.casl
   1  41 -7.657823 +/- 0.002158 2.185275 +/- 0.037924   # RUN1.wfn.40.casl
   1  42 -7.657096 +/- 0.002123 2.206247 +/- 0.064638   # RUN1.wfn.41.casl
   1  43 -7.657073 +/- 0.002060 2.019782 +/- 0.028983   # RUN1.wfn.42.casl
   1  44 -7.656414 +/- 0.002155 2.157844 +/- 0.047018   # RUN1.wfn.43.casl
   1  45 -7.654404 +/- 0.002195 2.200537 +/- 0.049370   # RUN1.wfn.44.casl
   2   1 -7.655872 +/- 0.002221 2.282699 +/- 0.082824   # RUN2.wfn.casl
   2   2 -7.655639 +/- 0.002176 2.164007 +/- 0.042086   # RUN2.wfn.1.casl
